CC,Player name,Team name,eDPI,DPI,Hz,Windows sensitivity,sensitivity,zoom_sensitivity_ratio,m_pitch,m_yaw,Mouse acceleration,Mouse,Mousepad
DK,dupreeh,Astralis,680,400,500,6,1.7,1.1,0.022,0.022,0,Zowie FK2,Zowie GTF-X
US,n0thing,Cloud9,680,400,500,6,1.7,1,0.022,0.022,0,Logitech G100s,Logitech G440
US,anger,Denial eSports,680,400,1000,6,1.7,1,0.022,0.022,0,SteelSeries Rival [Silver],SteelSeries QcK+ [Fnatic]
DE,nex,BIG,680,400,1000,6,1.7,1,0.022,0.022,0,Zowie EC?-A,Zowie G-SR
US,ShahZaM,,680,400,,6,1.7,1,0.022,0.022,0,Zowie ZA13,Logitech Custom Cloth Pad
VE,sukitRon,,680,400,1000,6,1.7,,,,,Logitech G400,SteelSeries QcK+
DE,enkay J,EnVyUs*,680,400,1000,6,1.7,1,0.022,0.022,0,Zowie EC2-A,Zowie G-SR
UA,ANGE1YL,HellRaisers,680,400,1000,6,1.7,1,0.022,0.022,0,Zowie ZA12,Razer Goliathus
CH,SolEk,Berzerk,680,400,500,6,1.7,0.5,0.022,0.022,0,Razer DeathAdder Chroma,SteelSeries QcK+
SE,flusha,GODSENT,680,400,1000,6,1.7,0.875,0.022,0.022,0,Zowie EC1-A,SteelSeries QcK Heavy
CA,Semphis,,675,450,1000,6,1.5,1,0.022,0.022,0,Logitech G Pro,SteelSeries QcK Heavy
PL,mouz,Kinguin,675,450,500,,1.5,1,0.022,0.022,0,Zowie FK,QPAD UC-50
AU,Yam,Renegades,668.8,400,500,6,1.672,1.2,0.022,0.022,0,SteelSeries Rival 100,Zowie G-SR
SE,maxie,Denial eSports,660,400,,5,2.2,1,,,,Zowie EC2-A,SteelSeries QcK Heavy
US,mOE,Echo Fox*,660,400,500,6,1.65,0.61,0.022,0.022,0,FinalMouse 2015,SteelSeries QcK+
UA,Zeus,Gambit Gaming,656,1600,1000,3,1.64,1,0.022,0.022,0,SteelSeries Sensei RAW [Na'Vi],SteelSeries QcK+ [Na'Vi]
FI,juhob,,640,400,1000,6,1.6,0.9,0.022,0.022,0,SteelSeries Rival,SteelSeries QcK+
JP,Shoushi,,620,400,1000,6,1.55,0.8,0.022,0.022,0,Zowie EC2-A,Zowie G-SR
SE,Delpan,,612,360,500,6,1.7,1,0.022,0.022,0,SteelSeries Sensei RAW,SteelSeries QcK Heavy
DE,tahsiN,Berzerk,600,400,500,5,2,1,0.022,0.022,0,Logitech G100s,Lioncast Deimos [Lightning]
BG,bubble,Rogue,594,540,1000,6,1.1,1,0.022,0.022,1,SteelSeries Sensei RAW [Rubberized],SteelSeries QcK Heavy
NO,Polly,,585,450,,6,1.3,0.8,0.022,0.022,0,Zowie EC1,Xtrfy XTP1-L4-LGB-1
FR,DEVIL,,572,400,1000,,1.43,1,0.022,0.022,0,Zowie FK1+,
BA,NiKo,mousesports,568,400,1000,6,1.42,0.8,0.022,0.022,0,Zowie EC2-A,Zowie G-SR [mousesports]
US,Skadoodle,Cloud9,560,400,,6,1.4,1,0.022,0.022,0,Logitech G Pro,Logitech Custom Cloth Pad
PL,innocent,Kinguin*,560,400,500,6,1.4,1,0.022,0.022,0,SteelSeries Rival,QPAD UC-50
RU,wayLander,FlipSid3 Tactics,540,1800,,,0.3,0.5,0.022,0.022,0,Razer DeathAdder 2013,Zowie G-SR [wayLander]
DE,Zonixx,Panthers Gaming,540,450,125,6,1.2,1,0.022,0.022,1.05,Razer Abyssus,Mad Catz G.L.I.D.E.7
SK,GuardiaN,Natus Vincere,520,400,500,6,1.3,1.2,0.022,0.022,0,SteelSeries Kinzu v1 [Sudden Attack],SteelSeries QcK+
US,swag,Cloud9*,480,400,1000,6,1.2,1,0.022,0.022,1.05,Logitech G400s,Cloud9 TILE
UA,Shara,FlipSid3 Tactics*,400,400,125,4,2,1,0.022,0.022,Win + 1,Microsoft IntelliMouse 1.1a [SK Gaming],SteelSeries QcK Heavy
DE,tabseN,BIG,512,400,1000,6,1.28,0.85,0.022,0.0165,0,Zowie FK2,Zowie G-SR
US,fl0m,Mythic,,,,,,,,,,Razer DeathAdder Chroma,Zowie G-SR
UA,B1ad3,FlipSid3 Tactics,,,,,2.3,0.77,0.022,0.022,0,Zowie ZA?,Razer Goliathus
DK,BERRY,,,,,,3.6,1,0.022,0.022,0,Mionix Avior SK,SteelSeries QcK Heavy
UA,ceh9,,,,,6,1.9,1,0.022,0.022,0,SteelSeries Sensei RAW [Na'Vi],SteelSeries QcK+ [Na'Vi]
DE,cLy,,,,,,1.9,1,0.022,0.022,0,,
RU,facecrack,Elements Pro Gaming,,,,,0.6,0.8,0.022,0.022,0,,
US,flowsicK,Denial eSports,,,,,1.8,0.6,0.022,0.022,,SteelSeries Xai [Gold],SteelSeries QcK+ [Winterfox]
DK,HUNDEN,tRICKED,,,,,1.3,1,0.022,0.022,0,Mionix Avior SK,Mionix Sargas 450 SK
FR,ioRek,,,,,,,,,,,,
PL,kuben,Virtus.pro*,,,,,,,,,,,
PL,Loord,Kinguin*,,,,,2.1,1.2,0.022,0.022,0,Zowie FK?,QPAD UC-50
PL,MICHU,Kinguin,,,,,0.28,0.8,0.022,0.022,0,Zowie FK,QPAD UC
NO,Mystic,temp.no,,,,,2.33,0.928,0.022,0.022,0,Zowie EC? eVo CL,Mad Catz G.L.I.D.E.
PL,oskarish,ALTERNATE aTTaX,,,,,2,1,0.022,0.022,0,,
BA,pita,qwerty,,,,,2.7,,,,,,
FR,Sf,,,,,6,2.625,1,0.022,0.022,0,,
DK,smF,,,,,,2.5,1.1,0.022,0.022,0,Razer DeathAdder 2013,
FI,stonde,,,,,,1.75,1,0.022,0.022,0,,
US,Storm,,,,,,2.25,1.2,0.022,0.022,0,Zowie FK,Zowie G-TF Rough
DE,tiziaN,ALTERNATE aTTaX,,,,6,3.5,1,0.022,0.022,0,,
RU,waterfaLLZ,Elements Pro Gaming,,,,,1.3,0.78888,0.022,0.022,0,,
